,price
134298,596
25287,1048
125786,3620
125720,6608
90357,730
149419,2079
29666,394
13719,15287
89888,4884
83288,979
53470,9030
11191,1430
16884,12606
127327,1737
144216,12736
10254,1933
35170,575
59862,2933
11203,1089
80904,830
126326,3898
46941,6720
14092,1016
23082,3312
151419,589
74308,6843
57851,992
16595,726
26723,700
10418,4372
34802,625
20604,4284
38366,4326
105624,5125
21396,5232
37895,7906
80876,1779
61781,3679
4498,828
17327,914
25670,2287
108361,7731
90801,605
123406,905
82976,12209
115038,571
29085,3644
56286,942
95051,421
91063,896
133989,4383
132092,445
39742,4404
3221,818
6606,2993
33656,1727
129957,8457
117134,911
21233,675
38269,669
12273,2698
59581,703
131681,1966
132178,4277
89420,506
28030,3981
17254,1569
83856,399
31963,1746
30776,3290
132129,561
14622,1753
27815,2767
30459,2777
51061,377
9630,646
137475,449
58257,3908
7981,9930
106936,935
143083,2229
20626,561
17411,462
88850,732
25146,1749
14870,1637
33408,2111
79306,6915
146690,9274
86699,591
153446,536
1483,5988
115422,5988
8379,7137
96286,1711
64593,11607
148299,2163
92666,1059
7320,518
59315,6104
3282,12931
60122,2134
33776,3618
66311,5292
98873,2977
154780,2964
22548,863
33362,1085
40127,2825
131396,16240
63066,6084
14680,628
2073,1580
46157,2109
122787,11830
5763,900
133575,907
94894,1657
65336,5712
12735,1709
110495,14490
119,1563
85273,1922
82562,709
15354,673
31528,2271
145064,663
127288,1731
34405,2973
30014,12078
134243,1053
96700,9193
6311,5758
138750,871
47977,3354
3875,765
4838,3254
7001,3913
686,12061
95954,8355
14267,4708
17524,5622
99037,4858
68400,1295
27613,911
83513,1126
134487,2122
43817,4494
28431,884
68489,1111
97622,854
11635,1026
4941,4250
131282,1436
3830,5090
110950,1884
134522,12095
141941,928
60449,7697
23462,18707
27369,1792
25381,10446
76465,13622
153909,6766
2373,2198
62622,2795
6056,891
28909,4240
82347,4879
83507,2853
71498,13367
148128,1157
29816,1146
50327,814
30595,1922
10455,8868
26509,11923
20658,5914
152716,596
53384,4641
49765,9933
36010,8524
47539,10680
145541,2683
63440,9016
93080,6539
87730,2517
12891,4118
113081,807
127543,4142
19936,2808
78093,6177
8991,18691
87335,1881
111999,5158
13935,2583
4953,958
25097,802
71902,7743
16670,640
149585,776
98389,2946
147911,1076
45068,1033
72244,4095
20274,2017
2437,1645
21727,14185
30987,5606
27425,7334
37972,5938
48169,710
143002,988
63809,1802
5323,2573
122657,693
138181,2072
15349,15377
55496,1097
21085,1576
136077,14931
29251,9053
83722,13462
128703,1290
12359,4082
144304,463
7415,16256
65204,530
136822,1735
15293,3990
15600,1746
19720,1244
87013,2049
91215,2578
95633,1939
38141,6659
5095,2205
5031,664
96812,13678
120875,15110
19189,2606
115448,598
124694,8666
127983,748
94185,698
26191,1896
30378,6787
53148,4698
138103,8092
100550,2052
140476,2184
115505,4065
149588,4504
125011,781
65784,11534
104039,3977
139492,1110
33264,3478
4992,754
145273,4292
68470,17358
42102,4836
18142,706
47250,1437
49102,873
51531,6587
14596,1847
59033,1076
27567,16929
40177,1141
130783,702
27695,12267
32001,9046
108424,3696
130043,4478
9092,561
124271,959
63080,1400
50905,7639
146231,2415
91973,1272
62019,545
77161,886
132468,2825
6226,18066
84891,477
98169,975
55868,6787
38495,2434
19379,687
9976,2272
35582,13474
116698,956
7765,1274
25913,743
24162,5684
20268,1376
5806,2852
98918,1598
67321,1087
103411,2136
6552,505
64910,626
60337,719
44589,596
93182,1114
4003,4513
22945,943
42934,14057
149701,2925
82245,2340
47597,447
86383,6044
141011,3423
148235,2297
46251,5167
149797,10476
104053,3570
68893,1760
49018,3181
108905,2142
18155,874
75588,558
23780,2301
63577,1226
69365,4363
140722,4758
34201,4328
45249,789
62079,660
133245,4986
21680,4290
134098,5234
29569,16353
62989,5626
31999,544
151244,994
101838,2364
6450,4630
26461,1243
123589,512
50358,7744
147341,13736
18274,1718
24057,11971
130552,928
87661,5769
1746,6300
4753,18276
4042,5161
137773,13196
10221,544
28292,13298
50671,5619
29477,1024
122036,1666
89014,3774
35803,1770
35778,2265
10536,4368
143758,16329
104584,1073
85570,4412
10630,5358
67490,2380
37882,854
72871,5491
36542,7333
31338,5946
120508,982
42172,3763
25856,15957
150045,470
49754,6246
88945,3145
143807,9858
5286,11579
26867,732
135108,2331
138594,743
146014,462
38487,777
19882,4206
101924,2749
119734,5242
33731,1349
5875,11400
34883,1013
22363,2016
60429,9278
15519,863
104307,1417
98001,393
94698,15740
125654,1438
9621,1163
86185,13929
21691,452
51009,1343
146074,571
35707,6563
3701,4922
54894,2175
30045,9028
81829,3992
14639,868
97870,4491
130902,3054
67333,4903
17335,15649
97946,13963
88748,640
125716,2763
13281,2451
147715,15254
44634,4493
84401,1580
16423,5226
125313,4540
26821,1264
121817,645
36659,5864
20097,833
29060,5892
154797,13377
12229,3333
19473,7964
154765,525
43774,1637
29681,1546
86224,1272
11629,1381
53134,992
148662,5050
48689,945
62807,2474
130353,477
81011,1431
9307,1087
18871,774
82826,440
13430,1986
82495,2304
20120,7189
18570,9035
59873,628
27291,863
49885,3790
66586,3539
121940,702
24612,1672
146937,1059
2071,1963
55238,1207
44676,4320
11873,3004
30290,8575
3321,645
153999,631
18315,1289
146651,1209
149144,489
22782,4695
17001,1054
68939,3665
68954,838
144495,929
95513,802
139287,5218
34686,8294
14112,11365
79334,1155
47424,5175
143310,12467
40899,2690
94546,3977
12004,882
97635,14028
38012,2125
10459,2893
23298,6750
47483,868
26020,2241
55665,700
88341,1794
35250,9126
154742,2241
34514,5254
58640,596
150151,6255
18124,579
12572,1644
97145,12549
106851,1932
7879,4837
29030,1715
14592,683
34557,666
90762,1753
104383,550
21330,2585
21026,4789
4913,1338
88550,818
68985,8893
25664,1415
45348,3734
69886,4648
93999,1569
113391,12082
148234,5598
82120,6479
141412,4486
29539,6533
82118,2823
67202,3073
113946,1400
110705,15485
84797,1316
146597,3796
62304,684
36966,847
31452,4661
25499,2518
48262,2527
99351,14660
110697,7683
100704,1035
24710,6154
93188,4268
128296,1332
59206,1389
37700,8452
97513,1799
2789,13096
46460,5786
60939,3370
36180,4414
12731,1289
3371,3066
114478,861
120319,2720
107279,9645
37703,945
70711,2898
31464,4854
105607,4469
89651,6318
29338,1847
17874,2697
123688,419
103996,811
116102,4664
15138,848
34749,1601
21711,9489
7711,3136
108341,4007
8216,942
37435,1664
98105,581
29879,442
64667,2724
68278,1129
47454,1154
23312,2388
80248,11409
24986,16256
102725,2751
4265,16603
67736,4238
62276,631
705,7481
75230,1410
13779,1187
31510,2026
46181,734
139504,1111
40178,8228
26668,1192
24848,12779
35924,906
40114,12979
90181,536
7863,825
57909,6944
27169,554
153804,1340
85299,3566
30348,7679
575,10278
76786,1052
105587,3254
154035,1257
125649,1551
130493,878
11785,16861
111528,6301
47334,1135
106874,1882
20820,944
133132,828
49097,4242
46759,7109
126124,1781
72011,590
111008,1243
91345,7231
110811,4212
4343,484
86864,10929
60812,1022
3562,480
98391,3312
31702,610
130852,4917
25418,650
86548,5914
36457,4087
2551,4931
33740,5889
137053,1076
29405,828
7804,1401
129180,4785
33018,2415
17737,630
30835,4238
132843,2263
24670,4989
45267,3791
152912,3260
42010,4240
15974,15665
6053,421
81,1722
42844,918
71677,3246
34183,898
66487,3304
52331,2253
18004,2611
146947,752
149591,1410
147827,1088
143930,9359
121561,1163
48457,967
24153,2961
119171,18159
61591,5257
31548,616
122170,642
98459,2586
14785,4372
76380,648
23597,4010
70175,1832
57661,1035
352,15522
109178,4016
82568,789
48734,9775
121726,17315
13947,2361
17681,942
44025,758
12387,12247
119974,7823
18682,16353
137997,16800
7784,1226
109152,6754
13303,575
107580,591
63839,9467
43277,1566
69342,419
42733,815
100724,18407
15751,1035
33966,564
9911,8879
76517,1000
11089,646
21123,2751
52433,3195
33910,924
25382,1695
84657,4310
47244,9057
112650,926
121856,2167
14823,18026
72368,4625
8074,945
86551,651
15743,944
147122,3920
99564,846
5303,6313
33879,454
111051,3175
6606,1963
152750,6342
27105,2737
23533,6021
108717,2036
128766,1689
36586,9533
18672,1820
118130,1235
108041,5308
7037,929
40346,3066
57570,4624
136648,4620
132049,828
147011,16800
116543,7504
68534,1127
6843,752
26192,2150
138834,972
37130,6381
28237,7107
3182,1410
14392,2479
9326,2189
73943,4564
15840,1058
986,1813
125618,2242
140187,8201
137471,2409
62522,5914
143470,1443
57129,1007
93862,678
33368,13063
151304,886
32655,979
149909,912
32342,3372
105748,2021
52315,574
45410,3925
137169,6630
49488,13654
99107,2728
37628,3838
23009,1018
102287,4838
95200,816
16989,9132
21082,2095
101749,7154
85039,1813
80065,8223
104035,1224
35541,6640
92095,1937
35302,828
99911,1778
83921,9823
89650,1161
2734,6762
122112,1792
107924,1588
134910,969
23417,4537
34663,2004
45453,1201
31097,3171
22435,10241
88546,1359
20552,8564
18119,544
34055,17955
142849,7351
20590,1790
77985,896
141584,3625
17178,3931
18035,2671
75600,1668
100517,1223
71771,2117
69711,3669
77823,1875
17364,2352
25047,665
118473,2931
153870,7654
103786,489
124524,8110
133151,439
29506,485
18387,956
29317,619
77036,3377
31300,648
6515,6672
20814,2423
33706,641
28285,1973
29993,2197
16277,6841
23946,4637
20517,6720
107344,4273
97332,4615
70682,5741
62313,561
154369,7821
67702,858
73531,14112
29924,12500
77616,2583
150610,7111
129231,446
138321,873
116638,2074
107254,1963
72319,2519
39462,846
150439,827
15783,828
79318,734
118040,3824
26988,447
100807,765
23612,650
72185,7528
1573,3325
28711,593
28862,1318
54546,2911
22310,565
2788,1059
40481,1180
58159,5407
90285,677
131911,10009
149403,1875
74570,1297
4393,3135
63339,17955
26967,3182
121481,878
138129,1975
139358,1809
96635,3640
83548,6407
139636,8014
26342,3015
81562,1063
138838,789
2332,498
58762,1073
26261,877
67316,2562
45416,689
30233,863
152498,1080
89165,755
43580,1014
15230,1845
100280,2375
32494,10479
103260,2877
11180,12646
151669,3689
38310,893
92849,680
109035,898
149249,1111
74402,10789
24202,357
8561,3392
3853,666
34662,4946
92608,17569
18497,432
119862,755
834,4508
53874,736
17160,5502
78551,1793
5387,3496
7116,17343
15457,1389
3222,9920
3478,4142
69716,684
146454,658
86748,1989
51795,882
3637,671
2557,4032
106347,5430
138892,3125
131402,1094
79173,462
116433,6727
34609,605
84121,405
53729,626
41255,4581
43928,4234
943,1035
2342,1654
21866,680
2029,6957
99990,3119
124629,524
8843,1877
13182,5524
59444,2938
101554,489
34387,1849
145709,9465
33421,14948
143586,1994
34649,396
127603,2083
71141,3353
32242,596
4516,5302
111721,5167
26381,2028
13579,571
135325,14787
29823,2146
44715,3754
105240,2308
10025,9116
89556,4782
3069,673
22772,3816
41241,421
131376,591
148775,1043
80640,1014
43498,596
66284,4155
78774,1076
34267,995
15230,1124
37712,1438
45228,814
35831,3880
38293,12787
30830,6828
122470,4093
20769,974
150411,7824
45622,1223
27853,1791
3816,1125
106100,6355
111427,6787
22187,842
17542,743
134110,3220
113596,3766
136838,611
30721,720
90398,8029
1517,18439
29870,9618
39054,2513
13744,9487
32578,2911
20662,1402
40788,6425
20018,4170
43730,499
16736,1153
39908,5461
2059,593
56418,698
143759,1354
18821,9412
201,744
36871,12061
38686,1356
30093,1815
1634,975
138175,1063
82779,453
85020,6352
40045,5190
28649,1096
63375,573
127021,1067
15070,1262
49041,1013
6673,621
14209,4872
21781,648
8643,473
45758,421
105150,982
147974,1352
63202,710
22125,1710
125054,12284
37393,1033
11496,5453
5060,1419
19589,14171
21123,4679
22628,1562
28355,2352
42334,6416
100045,1917
137316,1031
847,2071
34117,3817
101077,720
38222,4284
34844,732
76597,5739
55953,1963
109395,2975
144999,923
68166,687
13198,3819
144514,391
116179,912
90284,1408
7548,1922
34339,586
977,4679
65362,808
40707,6282
74439,4737
137539,1848
89057,7310
34674,1107
129249,833
52956,664
107138,3307
5412,6987
96304,1021
18597,2231
152663,4984
142413,1050
4888,9556
89322,2459
53840,5167
130003,2817
38982,8637
8038,3862
99502,645
83297,1738
97311,5018
19218,10241
39485,6707
118895,2214
80118,5093
27652,969
115529,3864
76643,14542
44594,7473
153456,16811
67962,709
92581,15308
101882,6579
65001,936
59359,1901
50031,5889
86283,9804
35323,871
45214,829
1022,819
52533,780
93485,2247
105057,14483
128678,770
25581,492
36911,6666
149736,649
48962,9489
40897,12958
23768,6268
117813,608
20133,12117
5450,8866
135054,5407
34860,867
8783,3718
20113,3304
36624,4892
5752,2726
121177,3739
12411,4084
84879,787
113403,3732
115706,2117
101766,12423
43900,4271
116842,18607
485,18787
37017,766
55113,689
49096,702
143913,11206
148965,4855
27421,746
74685,6048
13968,3318
144937,530
14351,4987
105890,1331
28550,1556
2340,4484
35168,1140
1737,865
85072,992
33555,2095
52192,6532
72569,7293
146865,739
60222,1433
70853,3577
7779,7992
147254,1020
37128,2745
27151,2549
4640,1441
146669,2056
111508,4564
57354,16642
12454,4157
18997,6442
107778,958
117924,2756
145087,1601
4512,5654
94469,5720
4730,778
19298,434
66751,1754
53992,11364
61172,518
103676,672
145034,1125
17696,2421
76,10750
27983,984
70101,684
98310,7506
19727,1712
133481,367
93460,10800
13109,7806
146949,1882
94988,471
55751,1114
114857,5055
152710,2101
16733,4383
76138,3705
117999,13702
135585,2230
89777,1897
127421,683
41527,1243
93902,3266
78364,523
116569,11352
143599,7151
99388,1646
7401,1010
122915,449
59592,648
111980,4111
99552,2048
24480,6058
135882,2907
127164,7272
17826,1095
56916,13225
68067,8414
79188,1664
146761,1092
57443,682
23662,943
47123,1981
123801,5345
52246,3863
15300,1135
22242,1715
129087,1286
92258,5113
148116,12146
135557,7404
97844,4676
90737,4232
111062,11390
55375,854
123994,5799
58752,7822
35556,791
29138,4446
23493,3564
83149,6566
64782,975
108638,11182
811,5599
39359,7384
4397,844
25283,5277
14090,3249
86041,1103
32335,1332
1841,14215
36107,5139
143270,2482
37818,2782
108465,577
4952,9863
22071,5522
76919,1974
28404,1078
172,504
33597,1270
79344,561
9920,2125
80575,3307
98876,707
67908,10891
10111,772
78670,5445
18987,1787
56984,6436
18742,8283
79390,1243
138775,945
5080,957
4995,13884
96830,4525
678,4900
56586,498
102038,1566
73716,2334
94349,1097
21876,2599
31347,926
29116,4029
132420,17659
26511,7162
135873,5768
6144,633
26725,2960
17282,802
26166,1071
92532,6302
135462,3478
36816,544
153643,2444
138981,6582
129871,7861
27222,4356
23693,1238
69401,672
18832,3170
133426,1385
124173,605
5484,13884
57680,3231
30962,515
130357,2181
50035,10763
111741,840
45315,2218
71900,1013
76754,8835
45072,4399
29626,764
28222,9730
40861,1207
75355,6607
58412,5385
33132,13812
68212,4001
13282,3032
34943,2507
128620,1749
39168,673
65984,1100
69386,3752
106367,1939
57659,777
64185,743
101865,8167
62131,537
18978,828
30725,882
45429,1125
61543,4271
100765,689
26978,1135
67536,3914
57671,4106
76091,7677
53275,526
57703,1346
82906,2013
114096,1950
152922,1708
117516,4869
27176,1160
108252,603
109589,1680
42312,882
11776,605
117673,749
3615,641
96345,6774
146291,2171
118439,1846
109394,4851
83139,4624
5300,4327
71859,922
6881,1857
30477,7889
73223,15563
20196,15197
92208,7479
88037,6918
93139,973
110852,789
70868,2294
13550,6048
111049,626
17378,4805
93725,540
143318,2467
117178,434
100467,12608
129156,4536
97688,5000
34848,3599
29377,802
136363,15609
84540,8402
32337,838
92102,2847
366,1196
56027,687
12104,1687
140853,2607
10148,579
75750,4113
33881,5501
122064,11818
67860,4916
119791,1002
101186,668
131792,5534
83993,1787
114558,740
152621,12392
153865,1628
154664,6532
127516,11019
131978,896
135529,2365
122491,1570
144280,5174
112375,1057
121874,1031
70397,1289
68814,5058
120280,2346
125125,776
8738,12987
28991,7589
69107,1124
69312,1141
8176,4980
109177,2539
106890,844
26225,3920
71437,6451
3129,710
8013,4937
3642,565
132404,523
85618,1692
37686,2978
144115,15522
52180,9705
29636,3991
132012,2594
140614,7333
154023,537
68478,18124
794,702
26972,6607
76811,625
14584,1561
76638,575
101640,4950
124525,3338
47536,6248
104842,18780
16506,6156
24396,10754
7751,728
385,4739
135076,1625
113879,3671
18927,692
29192,6963
36700,648
4148,8540
18744,2083
122186,17893
101714,1002
18224,668
5967,2441
62638,1840
76681,9205
122807,18795
97750,616
34298,3582
41974,1902
152557,14611
7663,2536
260,1957
38609,16704
11019,10951
18829,2956
103625,12059
19896,438
29893,13872
120693,3480
47206,12308
52671,5604
123982,4606
4281,7365
99012,647
35533,1821
5170,2401
57569,540
58773,1851
20494,1163
18111,2383
55320,734
99357,1410
103234,7759
367,1014
146147,4398
22500,561
19908,912
118229,2383
58447,1989
94979,6344
23745,1031
106049,975
76078,2539
16130,505
121970,5198
78516,907
435,1624
23512,2583
5641,965
123161,963
24176,3987
129103,858
119624,11413
137894,943
136358,6965
124912,4940
154541,618
128417,1669
124442,8015
134005,5618
87006,6013
105950,3763
154048,616
90992,13453
6808,3030
8956,1662
131789,2106
10164,5236
130586,1350
73262,4327
59594,3172
137908,5898
104908,3746
107361,3625
9039,1018
2269,1577
120163,773
60813,5077
69866,1838
120600,3519
59217,882
86578,7672
65894,8321
133257,2141
103450,2822
142061,4844
11581,12209
131155,1079
96,7032
44422,1007
20704,1547
92793,4136
33285,9263
14647,15282
3336,837
24678,9818
94815,596
71078,6279
58919,11522
75282,3566
76799,5273
9706,754
128817,6533
90107,9548
84470,2590
22877,552
95392,4714
52056,462
29791,6925
134568,874
109063,4051
30439,2263
149848,605
112717,1662
34143,9845
106724,572
66002,5141
144020,4315
19693,5877
13639,6837
16170,4529
12059,827
39608,473
31565,10483
104727,1940
37899,8587
1269,709
29911,957
86469,3471
145930,680
143820,658
26696,14031
119357,3652
37041,5183
11298,774
80887,4832
108268,2999
14059,4142
86471,1305
24049,1754
117988,8736
78459,6031
30494,1076
141500,776
21210,605
22448,828
35240,990
15945,784
84890,2874
32169,14542
115065,6159
34190,1040
74263,6838
10131,857
8861,1076
82454,358
89400,4044
84048,4717
148951,7996
149146,489
24606,534
31991,4679
43313,605
35358,3891
88235,1153
14528,2044
36101,5683
9703,419
71944,778
12961,6202
60889,12361
92108,2999
12918,5055
146552,775
82361,8602
28393,694
103521,572
123181,14841
45518,781
66227,453
14484,726
36864,648
137490,1273
21776,3478
31730,1956
11185,13849
67826,6403
84343,6619
23630,4668
75751,4044
140407,5387
46693,10805
29071,6937
34619,612
19807,1153
61982,2440
142257,2394
41469,13603
70535,658
119208,7648
5153,5656
37313,530
54468,1698
134329,5761
2447,3218
147684,6017
67274,5701
145971,961
112769,8430
11220,4234
85658,834
104362,876
9747,4399
36195,14915
95329,696
80688,6854
24945,842
84796,18559
77221,732
87810,6387
33914,2334
25502,11473
0,614
83267,1662
5252,491
2729,2330
41539,666
58975,954
149684,6659
29746,8165
29275,9521
33454,4321
53360,6872
29053,1017
100551,505
53650,1406
120492,938
83305,2898
47162,2564
100543,2517
124392,1135
105263,5824
43854,5780
134161,899
2685,810
2739,669
19722,1105
38295,1080
61370,5557
102136,16239
73335,1112
63336,805
63905,3879
78923,4159
57542,2725
4269,8219
128502,468
78534,720
7894,1293
27521,4870
43138,12681
154167,2725
95824,2666
55445,709
117706,738
110873,1883
76686,4234
122931,828
120374,2516
20198,1374
26303,1846
131659,5602
8805,522
3453,5347
62139,5988
31906,4398
143060,776
3752,3514
72460,4559
139297,1299
101620,2058
142022,671
25315,2442
60407,969
18055,2979
52223,2949
141955,2942
39294,4892
37558,1300
117368,477
2861,12681
111194,705
23724,2765
31990,640
117531,653
118137,16241
100261,686
32560,2137
116152,3210
25202,2016
68813,1249
20028,4077
124630,10009
43495,5867
86321,765
17311,8430
4950,596
15302,2109
122296,2234
32589,1131
28275,5398
980,683
71585,638
3781,1138
146155,6015
134250,12209
53807,1819
22076,740
13182,938
146561,4267
152899,965
935,5040
110241,737
99380,1834
7460,472
74327,625
92109,3754
16436,729
40813,2428
18443,1641
9345,1107
12430,705
47978,1295
44085,842
43466,8745
2089,5056
92760,8774
103566,421
11259,609
17288,802
142971,4032
13554,767
110479,710
28494,3293
9803,524
32597,876
96105,609
4585,3696
44622,900
15808,10197
70054,15499
51420,984
56774,6416
87981,7209
6037,4697
114344,4224
37399,6754
104872,4937
19818,7216
61676,13205
16076,1035
27759,5665
36989,1289
20058,5313
4375,1240
117169,491
150388,4641
12867,6039
141622,4676
4241,4693
29202,880
124330,2803
146234,3797
1754,6720
975,1806
90837,4312
22853,948
52843,1079
120771,8662
100930,1621
60540,596
36778,1179
127317,1783
1717,10927
116253,489
1855,12508
143298,2745
53351,698
19864,2699
20234,1968
23340,5535
102807,2665
77679,3950
59675,1546
3719,858
110822,5502
71418,4250
28594,7957
54204,6676
25837,703
52283,2224
107660,679
76503,17953
56051,5315
60496,775
33564,1897
110672,984
140606,5094
17331,732
111499,1581
103969,18028
137891,12539
59416,7634
106987,1641
143600,3668
24019,16253
10229,876
12905,1574
55166,6794
142862,15261
41151,1087
64657,1235
132512,5710
92773,6326
90346,3780
29289,1789
109908,2444
77486,8584
37000,1210
117687,1624
26077,4082
121802,4368
87190,16683
146390,4271
63033,13453
2619,4218
102981,3663
8233,4901
118446,4925
14450,2805
135095,6683
58201,2258
18087,1245
4204,2316
111106,2756
57720,14581
50059,6371
33399,7430
66792,6969
52013,5732
79001,7797
2748,3800
80602,3250
684,826
2543,505
40062,4295
12018,2975
15999,1040
16828,1419
85769,6077
31366,765
99758,1668
52392,5806
17639,1646
91327,3729
40441,5102
17929,1438
52619,2313
149284,6250
92709,5227
107050,3000
31766,1719
12743,5761
56018,15398
2579,1013
9232,5453
7174,4414
145395,2728
120515,4350
12729,574
118980,8736
10216,872
20067,1073
90665,3668
115312,2964
16773,829
32508,7813
26978,17689
106036,3501
141269,12773
31099,1013
444,3318
77296,11837
6216,2815
93866,5797
16463,5498
22285,7443
16798,9498
31361,2155
17024,1614
27311,2275
55936,4142
35202,3181
28639,446
18560,648
137499,4482
50102,2927
5091,3843
81731,1745
16572,2175
77856,10851
126885,544
147006,1203
51577,6669
99212,12773
118974,2241
54788,2423
50233,658
2165,1671
113637,764
9636,3419
57700,4064
99343,2409
28075,466
4823,675
117896,3971
128372,1417
52373,449
27396,1268
146307,7459
149046,7472
80833,5595
154617,5280
111173,867
15465,936
37395,17523
67199,505
25548,810
92314,3790
24558,2165
74695,5942
16640,4126
123519,593
146351,1249
73818,6513
17555,7929
135561,1662
94806,449
47785,3841
21400,7695
29082,645
24112,6153
22515,4588
76458,2484
143443,445
24572,5294
22942,1843
122638,9435
76662,11188
47160,5390
48207,4795
24702,1641
79643,4361
80462,834
66118,2456
84398,990
115415,7204
84889,5055
107188,1240
48898,1669
130927,766
74897,2753
13882,11764
29637,4778
15573,579
147826,6093
12782,1067
21848,5214
60755,1131
23632,1692
128332,9735
147840,1229
132,758
16905,3920
34661,4382
51835,2370
29457,4158
132780,436
102104,1395
75789,12244
14996,14949
22232,505
148991,863
100978,7275
145616,2846
49397,1942
37764,13963
107785,11975
128208,6715
144956,7991
34897,3105
81764,4158
16957,552
4557,1637
31373,878
29152,5047
79812,10763
65791,4694
45988,375
153630,7399
31742,5330
112037,505
96757,7891
46930,2753
145200,4790
10896,4484
33127,9050
4803,3313
38981,4767
18241,1421
108147,1240
5600,2874
124337,2850
73218,2146
114661,380
45586,1964
67911,10867
92,2275
55102,3535
72655,1822
136339,462
105543,3154
112018,14892
105644,15619
8138,9432
32352,4222
69169,1033
118983,1781
35672,6038
11898,2345
49576,4488
148291,945
58264,1155
36162,8763
74124,4291
59743,6894
94228,13595
87795,9116
8044,1312
13722,16465
955,2609
111438,2051
17337,2949
4012,1150
63156,1948
82651,15323
26002,4698
32517,1358
4052,2196
117561,1828
114958,1024
28432,4116
118536,2399
23886,15970
100433,14424
114796,4538
6780,936
26162,2479
12876,17442
3367,17235
2967,978
6580,16786
32673,561
22207,680
20499,4198
109892,1177
4136,10428
31848,993
30293,2485
79933,4077
81849,765
9825,5999
3100,2967
25267,1779
67651,1791
8854,680
30326,7755
34898,1074
129115,3048
9761,12401
106955,12048
131749,2879
126175,447
50667,819
14550,1007
22920,487
12118,17936
29127,3510
68175,4969
69606,840
8785,5222
47817,5395
32455,4768
35360,2800
57834,628
130848,2767
2481,684
6232,1084
24497,4312
22839,2027
109696,3293
10347,10570
113915,2937
33604,3173
67486,8445
92886,422
148871,2986
131236,5204
43089,2617
33358,449
34981,4054
75562,1013
152047,5197
101674,4280
61637,2719
69665,10473
40810,3419
99999,988
44831,630
107806,780
5855,734
130087,6060
41754,851
24571,2598
18418,3296
10864,5308
32672,492
59916,2070
78274,1041
122203,12381
78520,4024
1174,2612
141423,4042
81759,855
6496,1348
70950,648
15186,1786
128576,595
30843,11088
44691,1651
145736,1080
105300,847
9650,2270
117511,11901
5345,1607
45681,878
17614,5197
108156,9996
21964,1774
32417,3376
6956,1765
145031,6906
72956,803
8343,1053
26601,10171
37108,1790
83356,7877
13770,4093
48975,10428
53114,734
109380,576
65462,4224
27925,1721
18857,1700
142799,677
17291,3629
29687,3614
11511,492
4395,1895
26247,2021
4051,485
58166,2277
23141,856
92678,596
56760,5438
73840,1948
34785,473
86420,1133
143275,3464
50399,9625
51978,681
138250,710
118666,4229
9607,10754
7076,2621
134248,895
40112,7225
134430,2901
106725,621
103280,943
17043,1917
154661,2801
133868,13378
25341,1092
15251,2104
12481,2207
33717,992
68338,2674
58211,5266
9675,6075
135106,923
51881,4588
140577,9847
25782,6765
11870,6999
30390,4724
80422,768
9743,6451
44795,814
56514,645
92648,657
29638,2820
151636,10572
154250,11746
24301,1132
8468,3780
149371,2419
37250,468
101898,4721
58682,9502
147325,4284
137382,816
760,1119
14948,2016
